Image 1 Metrics for Fake A vs Real B: PSNR: 18.68, MSE: 0.01
Image 1 Metrics for Fake B vs Real A: PSNR: 17.22, MSE: 0.02
Image 2 Metrics for Fake A vs Real B: PSNR: 18.71, MSE: 0.01
Image 2 Metrics for Fake B vs Real A: PSNR: 17.07, MSE: 0.02
Image 3 Metrics for Fake A vs Real B: PSNR: 18.84, MSE: 0.01
Image 3 Metrics for Fake B vs Real A: PSNR: 16.75, MSE: 0.02
Image 4 Metrics for Fake A vs Real B: PSNR: 18.84, MSE: 0.01
Image 4 Metrics for Fake B vs Real A: PSNR: 16.88, MSE: 0.02
Image 5 Metrics for Fake A vs Real B: PSNR: 18.79, MSE: 0.01
Image 5 Metrics for Fake B vs Real A: PSNR: 16.54, MSE: 0.02
Image 6 Metrics for Fake A vs Real B: PSNR: 18.79, MSE: 0.01
Image 6 Metrics for Fake B vs Real A: PSNR: 17.17, MSE: 0.02
Image 7 Metrics for Fake A vs Real B: PSNR: 18.75, MSE: 0.01
Image 7 Metrics for Fake B vs Real A: PSNR: 16.04, MSE: 0.02
Image 8 Metrics for Fake A vs Real B: PSNR: 18.80, MSE: 0.01
Image 8 Metrics for Fake B vs Real A: PSNR: 17.23, MSE: 0.02
Image 9 Metrics for Fake A vs Real B: PSNR: 18.78, MSE: 0.01
Image 9 Metrics for Fake B vs Real A: PSNR: 16.56, MSE: 0.02
Image 10 Metrics for Fake A vs Real B: PSNR: 18.53, MSE: 0.01
Image 10 Metrics for Fake B vs Real A: PSNR: 16.48, MSE: 0.02
Image 11 Metrics for Fake A vs Real B: PSNR: 18.73, MSE: 0.01
Image 11 Metrics for Fake B vs Real A: PSNR: 17.22, MSE: 0.02
Image 12 Metrics for Fake A vs Real B: PSNR: 18.46, MSE: 0.01
Image 12 Metrics for Fake B vs Real A: PSNR: 17.30, MSE: 0.02
Image 13 Metrics for Fake A vs Real B: PSNR: 18.66, MSE: 0.01
Image 13 Metrics for Fake B vs Real A: PSNR: 16.97, MSE: 0.02
Image 14 Metrics for Fake A vs Real B: PSNR: 18.99, MSE: 0.01
Image 14 Metrics for Fake B vs Real A: PSNR: 16.93, MSE: 0.02
Image 15 Metrics for Fake A vs Real B: PSNR: 18.97, MSE: 0.01
Image 15 Metrics for Fake B vs Real A: PSNR: 15.95, MSE: 0.02
Image 16 Metrics for Fake A vs Real B: PSNR: 19.08, MSE: 0.01
Image 16 Metrics for Fake B vs Real A: PSNR: 16.20, MSE: 0.02
Image 17 Metrics for Fake A vs Real B: PSNR: 18.95, MSE: 0.01
Image 17 Metrics for Fake B vs Real A: PSNR: 17.08, MSE: 0.02
Image 18 Metrics for Fake A vs Real B: PSNR: 18.82, MSE: 0.01
Image 18 Metrics for Fake B vs Real A: PSNR: 16.89, MSE: 0.02
Image 19 Metrics for Fake A vs Real B: PSNR: 18.77, MSE: 0.01
Image 19 Metrics for Fake B vs Real A: PSNR: 17.46, MSE: 0.02
Image 20 Metrics for Fake A vs Real B: PSNR: 18.56, MSE: 0.01
Image 20 Metrics for Fake B vs Real A: PSNR: 17.19, MSE: 0.02
Image 21 Metrics for Fake A vs Real B: PSNR: 18.84, MSE: 0.01
Image 21 Metrics for Fake B vs Real A: PSNR: 16.55, MSE: 0.02
Image 22 Metrics for Fake A vs Real B: PSNR: 18.63, MSE: 0.01
Image 22 Metrics for Fake B vs Real A: PSNR: 16.71, MSE: 0.02
Image 23 Metrics for Fake A vs Real B: PSNR: 18.73, MSE: 0.01
Image 23 Metrics for Fake B vs Real A: PSNR: 17.59, MSE: 0.02
Image 24 Metrics for Fake A vs Real B: PSNR: 18.88, MSE: 0.01
Image 24 Metrics for Fake B vs Real A: PSNR: 17.26, MSE: 0.02
Image 25 Metrics for Fake A vs Real B: PSNR: 23.84, MSE: 0.00
Image 25 Metrics for Fake B vs Real A: PSNR: 17.10, MSE: 0.02
Image 26 Metrics for Fake A vs Real B: PSNR: 24.21, MSE: 0.00
Image 26 Metrics for Fake B vs Real A: PSNR: 16.87, MSE: 0.02
Image 27 Metrics for Fake A vs Real B: PSNR: 23.96, MSE: 0.00
Image 27 Metrics for Fake B vs Real A: PSNR: 17.47, MSE: 0.02
Image 28 Metrics for Fake A vs Real B: PSNR: 22.02, MSE: 0.00
Image 28 Metrics for Fake B vs Real A: PSNR: 17.72, MSE: 0.02
Image 29 Metrics for Fake A vs Real B: PSNR: 18.98, MSE: 0.01
Image 29 Metrics for Fake B vs Real A: PSNR: 16.93, MSE: 0.02
Image 30 Metrics for Fake A vs Real B: PSNR: 19.03, MSE: 0.01
Image 30 Metrics for Fake B vs Real A: PSNR: 16.75, MSE: 0.02
Image 31 Metrics for Fake A vs Real B: PSNR: 19.10, MSE: 0.01
Image 31 Metrics for Fake B vs Real A: PSNR: 17.15, MSE: 0.02
Image 32 Metrics for Fake A vs Real B: PSNR: 18.93, MSE: 0.01
Image 32 Metrics for Fake B vs Real A: PSNR: 16.71, MSE: 0.02
Image 33 Metrics for Fake A vs Real B: PSNR: 19.13, MSE: 0.01
Image 33 Metrics for Fake B vs Real A: PSNR: 16.70, MSE: 0.02
Image 34 Metrics for Fake A vs Real B: PSNR: 19.58, MSE: 0.01
Image 34 Metrics for Fake B vs Real A: PSNR: 16.62, MSE: 0.02
Image 35 Metrics for Fake A vs Real B: PSNR: 19.65, MSE: 0.01
Image 35 Metrics for Fake B vs Real A: PSNR: 16.92, MSE: 0.02
Image 36 Metrics for Fake A vs Real B: PSNR: 19.85, MSE: 0.01
Image 36 Metrics for Fake B vs Real A: PSNR: 17.45, MSE: 0.02
Image 37 Metrics for Fake A vs Real B: PSNR: 19.64, MSE: 0.01
Image 37 Metrics for Fake B vs Real A: PSNR: 17.49, MSE: 0.02
Image 38 Metrics for Fake A vs Real B: PSNR: 19.67, MSE: 0.01
Image 38 Metrics for Fake B vs Real A: PSNR: 17.49, MSE: 0.02
Image 39 Metrics for Fake A vs Real B: PSNR: 19.65, MSE: 0.01
Image 39 Metrics for Fake B vs Real A: PSNR: 17.20, MSE: 0.02
Image 40 Metrics for Fake A vs Real B: PSNR: 19.67, MSE: 0.01
Image 40 Metrics for Fake B vs Real A: PSNR: 17.69, MSE: 0.02
Image 41 Metrics for Fake A vs Real B: PSNR: 19.57, MSE: 0.01
Image 41 Metrics for Fake B vs Real A: PSNR: 17.46, MSE: 0.02
Image 42 Metrics for Fake A vs Real B: PSNR: 19.47, MSE: 0.01
Image 42 Metrics for Fake B vs Real A: PSNR: 17.61, MSE: 0.02
Image 43 Metrics for Fake A vs Real B: PSNR: 19.40, MSE: 0.01
Image 43 Metrics for Fake B vs Real A: PSNR: 17.64, MSE: 0.02
Image 44 Metrics for Fake A vs Real B: PSNR: 19.34, MSE: 0.01
Image 44 Metrics for Fake B vs Real A: PSNR: 17.67, MSE: 0.02
Image 45 Metrics for Fake A vs Real B: PSNR: 19.29, MSE: 0.01
Image 45 Metrics for Fake B vs Real A: PSNR: 17.78, MSE: 0.02
Image 46 Metrics for Fake A vs Real B: PSNR: 19.30, MSE: 0.01
Image 46 Metrics for Fake B vs Real A: PSNR: 17.67, MSE: 0.02
Image 47 Metrics for Fake A vs Real B: PSNR: 19.22, MSE: 0.01
Image 47 Metrics for Fake B vs Real A: PSNR: 17.66, MSE: 0.02
Image 48 Metrics for Fake A vs Real B: PSNR: 19.42, MSE: 0.01
Image 48 Metrics for Fake B vs Real A: PSNR: 17.75, MSE: 0.01
Image 49 Metrics for Fake A vs Real B: PSNR: 19.81, MSE: 0.01
Image 49 Metrics for Fake B vs Real A: PSNR: 17.63, MSE: 0.01
Image 50 Metrics for Fake A vs Real B: PSNR: 19.60, MSE: 0.01
Image 50 Metrics for Fake B vs Real A: PSNR: 17.67, MSE: 0.01
Image 51 Metrics for Fake A vs Real B: PSNR: 19.41, MSE: 0.01
Image 51 Metrics for Fake B vs Real A: PSNR: 17.85, MSE: 0.01
Image 52 Metrics for Fake A vs Real B: PSNR: 19.44, MSE: 0.01
Image 52 Metrics for Fake B vs Real A: PSNR: 18.24, MSE: 0.01
Image 53 Metrics for Fake A vs Real B: PSNR: 19.35, MSE: 0.01
Image 53 Metrics for Fake B vs Real A: PSNR: 18.23, MSE: 0.01
Image 54 Metrics for Fake A vs Real B: PSNR: 19.16, MSE: 0.01
Image 54 Metrics for Fake B vs Real A: PSNR: 18.47, MSE: 0.01
Image 55 Metrics for Fake A vs Real B: PSNR: 19.16, MSE: 0.01
Image 55 Metrics for Fake B vs Real A: PSNR: 17.84, MSE: 0.01
Image 56 Metrics for Fake A vs Real B: PSNR: 19.24, MSE: 0.01
Image 56 Metrics for Fake B vs Real A: PSNR: 17.86, MSE: 0.01
Image 57 Metrics for Fake A vs Real B: PSNR: 19.39, MSE: 0.01
Image 57 Metrics for Fake B vs Real A: PSNR: 18.26, MSE: 0.01
Image 58 Metrics for Fake A vs Real B: PSNR: 19.42, MSE: 0.01
Image 58 Metrics for Fake B vs Real A: PSNR: 17.83, MSE: 0.01
Image 59 Metrics for Fake A vs Real B: PSNR: 19.19, MSE: 0.01
Image 59 Metrics for Fake B vs Real A: PSNR: 18.00, MSE: 0.01
Image 60 Metrics for Fake A vs Real B: PSNR: 18.93, MSE: 0.01
Image 60 Metrics for Fake B vs Real A: PSNR: 17.98, MSE: 0.01
Image 61 Metrics for Fake A vs Real B: PSNR: 18.77, MSE: 0.01
Image 61 Metrics for Fake B vs Real A: PSNR: 18.39, MSE: 0.01
Image 62 Metrics for Fake A vs Real B: PSNR: 18.97, MSE: 0.01
Image 62 Metrics for Fake B vs Real A: PSNR: 17.89, MSE: 0.01
Image 63 Metrics for Fake A vs Real B: PSNR: 19.04, MSE: 0.01
Image 63 Metrics for Fake B vs Real A: PSNR: 18.26, MSE: 0.01
Image 64 Metrics for Fake A vs Real B: PSNR: 19.06, MSE: 0.01
Image 64 Metrics for Fake B vs Real A: PSNR: 18.06, MSE: 0.01
Image 65 Metrics for Fake A vs Real B: PSNR: 19.07, MSE: 0.01
Image 65 Metrics for Fake B vs Real A: PSNR: 18.50, MSE: 0.01
Image 66 Metrics for Fake A vs Real B: PSNR: 19.39, MSE: 0.01
Image 66 Metrics for Fake B vs Real A: PSNR: 18.19, MSE: 0.01
Image 67 Metrics for Fake A vs Real B: PSNR: 19.40, MSE: 0.01
Image 67 Metrics for Fake B vs Real A: PSNR: 18.50, MSE: 0.01
Image 68 Metrics for Fake A vs Real B: PSNR: 19.71, MSE: 0.01
Image 68 Metrics for Fake B vs Real A: PSNR: 17.81, MSE: 0.01
Image 69 Metrics for Fake A vs Real B: PSNR: 19.67, MSE: 0.01
Image 69 Metrics for Fake B vs Real A: PSNR: 18.36, MSE: 0.01
Image 70 Metrics for Fake A vs Real B: PSNR: 19.45, MSE: 0.01
Image 70 Metrics for Fake B vs Real A: PSNR: 18.41, MSE: 0.01
Image 71 Metrics for Fake A vs Real B: PSNR: 19.26, MSE: 0.01
Image 71 Metrics for Fake B vs Real A: PSNR: 19.29, MSE: 0.01
Image 72 Metrics for Fake A vs Real B: PSNR: 19.29, MSE: 0.01
Image 72 Metrics for Fake B vs Real A: PSNR: 18.99, MSE: 0.01
Image 73 Metrics for Fake A vs Real B: PSNR: 19.29, MSE: 0.01
Image 73 Metrics for Fake B vs Real A: PSNR: 19.25, MSE: 0.01
Image 74 Metrics for Fake A vs Real B: PSNR: 24.86, MSE: 0.00
Image 74 Metrics for Fake B vs Real A: PSNR: 17.07, MSE: 0.02
Image 75 Metrics for Fake A vs Real B: PSNR: 24.62, MSE: 0.00
Image 75 Metrics for Fake B vs Real A: PSNR: 16.78, MSE: 0.02
Image 76 Metrics for Fake A vs Real B: PSNR: 24.79, MSE: 0.00
Image 76 Metrics for Fake B vs Real A: PSNR: 17.60, MSE: 0.02
Image 77 Metrics for Fake A vs Real B: PSNR: 25.24, MSE: 0.00
Image 77 Metrics for Fake B vs Real A: PSNR: 16.03, MSE: 0.02
Image 78 Metrics for Fake A vs Real B: PSNR: 25.11, MSE: 0.00
Image 78 Metrics for Fake B vs Real A: PSNR: 16.40, MSE: 0.02
Image 79 Metrics for Fake A vs Real B: PSNR: 24.15, MSE: 0.00
Image 79 Metrics for Fake B vs Real A: PSNR: 15.44, MSE: 0.02
Image 80 Metrics for Fake A vs Real B: PSNR: 22.68, MSE: 0.00
Image 80 Metrics for Fake B vs Real A: PSNR: 15.85, MSE: 0.02
Image 81 Metrics for Fake A vs Real B: PSNR: 20.55, MSE: 0.01
Image 81 Metrics for Fake B vs Real A: PSNR: 16.44, MSE: 0.02
Image 82 Metrics for Fake A vs Real B: PSNR: 20.40, MSE: 0.01
Image 82 Metrics for Fake B vs Real A: PSNR: 16.46, MSE: 0.02
Image 83 Metrics for Fake A vs Real B: PSNR: 20.26, MSE: 0.01
Image 83 Metrics for Fake B vs Real A: PSNR: 16.50, MSE: 0.02
Image 84 Metrics for Fake A vs Real B: PSNR: 20.17, MSE: 0.01
Image 84 Metrics for Fake B vs Real A: PSNR: 16.55, MSE: 0.02
Image 85 Metrics for Fake A vs Real B: PSNR: 20.02, MSE: 0.01
Image 85 Metrics for Fake B vs Real A: PSNR: 16.55, MSE: 0.02
Image 86 Metrics for Fake A vs Real B: PSNR: 24.56, MSE: 0.00
Image 86 Metrics for Fake B vs Real A: PSNR: 16.41, MSE: 0.02
Image 87 Metrics for Fake A vs Real B: PSNR: 24.71, MSE: 0.00
Image 87 Metrics for Fake B vs Real A: PSNR: 16.71, MSE: 0.02
Image 88 Metrics for Fake A vs Real B: PSNR: 19.79, MSE: 0.01
Image 88 Metrics for Fake B vs Real A: PSNR: 16.82, MSE: 0.02
Image 89 Metrics for Fake A vs Real B: PSNR: 19.68, MSE: 0.01
Image 89 Metrics for Fake B vs Real A: PSNR: 16.77, MSE: 0.02
Image 90 Metrics for Fake A vs Real B: PSNR: 19.74, MSE: 0.01
Image 90 Metrics for Fake B vs Real A: PSNR: 16.27, MSE: 0.02
Image 91 Metrics for Fake A vs Real B: PSNR: 19.38, MSE: 0.01
Image 91 Metrics for Fake B vs Real A: PSNR: 16.27, MSE: 0.02
Image 92 Metrics for Fake A vs Real B: PSNR: 19.38, MSE: 0.01
Image 92 Metrics for Fake B vs Real A: PSNR: 16.04, MSE: 0.02
Image 93 Metrics for Fake A vs Real B: PSNR: 19.20, MSE: 0.01
Image 93 Metrics for Fake B vs Real A: PSNR: 15.89, MSE: 0.02
Image 94 Metrics for Fake A vs Real B: PSNR: 19.15, MSE: 0.01
Image 94 Metrics for Fake B vs Real A: PSNR: 15.96, MSE: 0.02
Image 95 Metrics for Fake A vs Real B: PSNR: 19.09, MSE: 0.01
Image 95 Metrics for Fake B vs Real A: PSNR: 15.64, MSE: 0.02
Image 96 Metrics for Fake A vs Real B: PSNR: 19.04, MSE: 0.01
Image 96 Metrics for Fake B vs Real A: PSNR: 15.53, MSE: 0.03
Image 97 Metrics for Fake A vs Real B: PSNR: 18.93, MSE: 0.01
Image 97 Metrics for Fake B vs Real A: PSNR: 15.62, MSE: 0.03
Image 98 Metrics for Fake A vs Real B: PSNR: 18.64, MSE: 0.01
Image 98 Metrics for Fake B vs Real A: PSNR: 15.71, MSE: 0.03
Image 99 Metrics for Fake A vs Real B: PSNR: 18.64, MSE: 0.01
Image 99 Metrics for Fake B vs Real A: PSNR: 15.86, MSE: 0.03
Image 100 Metrics for Fake A vs Real B: PSNR: 19.83, MSE: 0.01
Image 100 Metrics for Fake B vs Real A: PSNR: 15.55, MSE: 0.03
Image 101 Metrics for Fake A vs Real B: PSNR: 19.63, MSE: 0.01
Image 101 Metrics for Fake B vs Real A: PSNR: 15.67, MSE: 0.03
Image 102 Metrics for Fake A vs Real B: PSNR: 19.28, MSE: 0.01
Image 102 Metrics for Fake B vs Real A: PSNR: 15.75, MSE: 0.03
Image 103 Metrics for Fake A vs Real B: PSNR: 19.45, MSE: 0.01
Image 103 Metrics for Fake B vs Real A: PSNR: 15.74, MSE: 0.03
Image 104 Metrics for Fake A vs Real B: PSNR: 19.74, MSE: 0.01
Image 104 Metrics for Fake B vs Real A: PSNR: 15.55, MSE: 0.03
Image 105 Metrics for Fake A vs Real B: PSNR: 19.79, MSE: 0.01
Image 105 Metrics for Fake B vs Real A: PSNR: 15.64, MSE: 0.03
Image 106 Metrics for Fake A vs Real B: PSNR: 19.17, MSE: 0.01
Image 106 Metrics for Fake B vs Real A: PSNR: 15.33, MSE: 0.03
Image 107 Metrics for Fake A vs Real B: PSNR: 19.10, MSE: 0.01
Image 107 Metrics for Fake B vs Real A: PSNR: 15.63, MSE: 0.03
Image 108 Metrics for Fake A vs Real B: PSNR: 19.43, MSE: 0.01
Image 108 Metrics for Fake B vs Real A: PSNR: 15.65, MSE: 0.03
Image 109 Metrics for Fake A vs Real B: PSNR: 19.64, MSE: 0.01
Image 109 Metrics for Fake B vs Real A: PSNR: 15.68, MSE: 0.02
Image 110 Metrics for Fake A vs Real B: PSNR: 19.98, MSE: 0.01
Image 110 Metrics for Fake B vs Real A: PSNR: 15.86, MSE: 0.03
Image 111 Metrics for Fake A vs Real B: PSNR: 20.45, MSE: 0.01
Image 111 Metrics for Fake B vs Real A: PSNR: 15.90, MSE: 0.02
Image 112 Metrics for Fake A vs Real B: PSNR: 20.11, MSE: 0.01
Image 112 Metrics for Fake B vs Real A: PSNR: 15.93, MSE: 0.02
Image 113 Metrics for Fake A vs Real B: PSNR: 20.10, MSE: 0.01
Image 113 Metrics for Fake B vs Real A: PSNR: 16.11, MSE: 0.02
Image 114 Metrics for Fake A vs Real B: PSNR: 20.39, MSE: 0.01
Image 114 Metrics for Fake B vs Real A: PSNR: 16.24, MSE: 0.02
Image 115 Metrics for Fake A vs Real B: PSNR: 20.21, MSE: 0.01
Image 115 Metrics for Fake B vs Real A: PSNR: 16.33, MSE: 0.02
Image 116 Metrics for Fake A vs Real B: PSNR: 20.25, MSE: 0.01
Image 116 Metrics for Fake B vs Real A: PSNR: 16.42, MSE: 0.02
Image 117 Metrics for Fake A vs Real B: PSNR: 20.34, MSE: 0.01
Image 117 Metrics for Fake B vs Real A: PSNR: 15.90, MSE: 0.02
Image 118 Metrics for Fake A vs Real B: PSNR: 20.35, MSE: 0.01
Image 118 Metrics for Fake B vs Real A: PSNR: 16.72, MSE: 0.02
Image 119 Metrics for Fake A vs Real B: PSNR: 20.11, MSE: 0.01
Image 119 Metrics for Fake B vs Real A: PSNR: 16.49, MSE: 0.02
Image 120 Metrics for Fake A vs Real B: PSNR: 19.90, MSE: 0.01
Image 120 Metrics for Fake B vs Real A: PSNR: 16.76, MSE: 0.02
Image 121 Metrics for Fake A vs Real B: PSNR: 18.89, MSE: 0.01
Image 121 Metrics for Fake B vs Real A: PSNR: 16.61, MSE: 0.02
Image 122 Metrics for Fake A vs Real B: PSNR: 19.07, MSE: 0.01
Image 122 Metrics for Fake B vs Real A: PSNR: 16.58, MSE: 0.02
Image 123 Metrics for Fake A vs Real B: PSNR: 19.19, MSE: 0.01
Image 123 Metrics for Fake B vs Real A: PSNR: 16.93, MSE: 0.02
Image 124 Metrics for Fake A vs Real B: PSNR: 19.18, MSE: 0.01
Image 124 Metrics for Fake B vs Real A: PSNR: 16.22, MSE: 0.02
Image 125 Metrics for Fake A vs Real B: PSNR: 19.34, MSE: 0.01
Image 125 Metrics for Fake B vs Real A: PSNR: 16.97, MSE: 0.02
Image 126 Metrics for Fake A vs Real B: PSNR: 19.51, MSE: 0.01
Image 126 Metrics for Fake B vs Real A: PSNR: 16.40, MSE: 0.02
Image 127 Metrics for Fake A vs Real B: PSNR: 19.54, MSE: 0.01
Image 127 Metrics for Fake B vs Real A: PSNR: 16.83, MSE: 0.02
Image 128 Metrics for Fake A vs Real B: PSNR: 19.63, MSE: 0.01
Image 128 Metrics for Fake B vs Real A: PSNR: 16.79, MSE: 0.02
Image 129 Metrics for Fake A vs Real B: PSNR: 19.73, MSE: 0.01
Image 129 Metrics for Fake B vs Real A: PSNR: 16.64, MSE: 0.02
Image 130 Metrics for Fake A vs Real B: PSNR: 19.73, MSE: 0.01
Image 130 Metrics for Fake B vs Real A: PSNR: 16.59, MSE: 0.02
Image 131 Metrics for Fake A vs Real B: PSNR: 19.69, MSE: 0.01
Image 131 Metrics for Fake B vs Real A: PSNR: 16.64, MSE: 0.02
Image 132 Metrics for Fake A vs Real B: PSNR: 19.46, MSE: 0.01
Image 132 Metrics for Fake B vs Real A: PSNR: 16.83, MSE: 0.02
Image 133 Metrics for Fake A vs Real B: PSNR: 19.42, MSE: 0.01
Image 133 Metrics for Fake B vs Real A: PSNR: 17.04, MSE: 0.02
Image 134 Metrics for Fake A vs Real B: PSNR: 19.37, MSE: 0.01
Image 134 Metrics for Fake B vs Real A: PSNR: 16.58, MSE: 0.02
Image 135 Metrics for Fake A vs Real B: PSNR: 19.36, MSE: 0.01
Image 135 Metrics for Fake B vs Real A: PSNR: 17.06, MSE: 0.02
Image 136 Metrics for Fake A vs Real B: PSNR: 19.61, MSE: 0.01
Image 136 Metrics for Fake B vs Real A: PSNR: 17.06, MSE: 0.02
Image 137 Metrics for Fake A vs Real B: PSNR: 19.49, MSE: 0.01
Image 137 Metrics for Fake B vs Real A: PSNR: 17.10, MSE: 0.02
Image 138 Metrics for Fake A vs Real B: PSNR: 19.58, MSE: 0.01
Image 138 Metrics for Fake B vs Real A: PSNR: 16.90, MSE: 0.02
Image 139 Metrics for Fake A vs Real B: PSNR: 19.59, MSE: 0.01
Image 139 Metrics for Fake B vs Real A: PSNR: 16.89, MSE: 0.02
Image 140 Metrics for Fake A vs Real B: PSNR: 19.58, MSE: 0.01
Image 140 Metrics for Fake B vs Real A: PSNR: 16.60, MSE: 0.02
Image 141 Metrics for Fake A vs Real B: PSNR: 19.59, MSE: 0.01
Image 141 Metrics for Fake B vs Real A: PSNR: 17.16, MSE: 0.02
Image 142 Metrics for Fake A vs Real B: PSNR: 19.32, MSE: 0.01
Image 142 Metrics for Fake B vs Real A: PSNR: 17.28, MSE: 0.02
