Image 1 Metrics for Fake A: PSNR: 6.96, SSIM: nan, MSE: 0.81
Image 1 Metrics for Fake B: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 2 Metrics for Fake A: PSNR: 6.95, SSIM: nan, MSE: 0.81
Image 2 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.80
Image 3 Metrics for Fake A: PSNR: 6.91, SSIM: nan, MSE: 0.82
Image 3 Metrics for Fake B: PSNR: 7.01, SSIM: nan, MSE: 0.80
Image 4 Metrics for Fake A: PSNR: 6.94, SSIM: nan, MSE: 0.81
Image 4 Metrics for Fake B: PSNR: 7.01, SSIM: nan, MSE: 0.80
Image 5 Metrics for Fake A: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 5 Metrics for Fake B: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 6 Metrics for Fake A: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 6 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 7 Metrics for Fake A: PSNR: 6.84, SSIM: nan, MSE: 0.83
Image 7 Metrics for Fake B: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 8 Metrics for Fake A: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 8 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 9 Metrics for Fake A: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 9 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 10 Metrics for Fake A: PSNR: 6.96, SSIM: nan, MSE: 0.81
Image 10 Metrics for Fake B: PSNR: 7.14, SSIM: nan, MSE: 0.77
Image 11 Metrics for Fake A: PSNR: 7.16, SSIM: nan, MSE: 0.77
Image 11 Metrics for Fake B: PSNR: 7.11, SSIM: nan, MSE: 0.78
Image 12 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 12 Metrics for Fake B: PSNR: 7.12, SSIM: nan, MSE: 0.78
Image 13 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.80
Image 13 Metrics for Fake B: PSNR: 7.08, SSIM: nan, MSE: 0.78
Image 14 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 14 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 15 Metrics for Fake A: PSNR: 6.86, SSIM: nan, MSE: 0.82
Image 15 Metrics for Fake B: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 16 Metrics for Fake A: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 16 Metrics for Fake B: PSNR: 7.07, SSIM: nan, MSE: 0.78
Image 17 Metrics for Fake A: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 17 Metrics for Fake B: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 18 Metrics for Fake A: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 18 Metrics for Fake B: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 19 Metrics for Fake A: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 19 Metrics for Fake B: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 20 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 20 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 21 Metrics for Fake A: PSNR: 6.96, SSIM: nan, MSE: 0.81
Image 21 Metrics for Fake B: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 22 Metrics for Fake A: PSNR: 7.00, SSIM: nan, MSE: 0.80
Image 22 Metrics for Fake B: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 23 Metrics for Fake A: PSNR: 7.11, SSIM: nan, MSE: 0.78
Image 23 Metrics for Fake B: PSNR: 7.08, SSIM: nan, MSE: 0.78
Image 24 Metrics for Fake A: PSNR: 6.98, SSIM: nan, MSE: 0.80
Image 24 Metrics for Fake B: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 25 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 25 Metrics for Fake B: PSNR: 6.11, SSIM: nan, MSE: 0.98
Image 26 Metrics for Fake A: PSNR: 7.10, SSIM: nan, MSE: 0.78
Image 26 Metrics for Fake B: PSNR: 6.12, SSIM: nan, MSE: 0.98
Image 27 Metrics for Fake A: PSNR: 7.19, SSIM: nan, MSE: 0.76
Image 27 Metrics for Fake B: PSNR: 6.12, SSIM: nan, MSE: 0.98
Image 28 Metrics for Fake A: PSNR: 7.21, SSIM: nan, MSE: 0.76
Image 28 Metrics for Fake B: PSNR: 6.14, SSIM: nan, MSE: 0.97
Image 29 Metrics for Fake A: PSNR: 7.09, SSIM: nan, MSE: 0.78
Image 29 Metrics for Fake B: PSNR: 7.10, SSIM: nan, MSE: 0.78
Image 30 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 30 Metrics for Fake B: PSNR: 7.10, SSIM: nan, MSE: 0.78
Image 31 Metrics for Fake A: PSNR: 7.12, SSIM: nan, MSE: 0.78
Image 31 Metrics for Fake B: PSNR: 7.08, SSIM: nan, MSE: 0.78
Image 32 Metrics for Fake A: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 32 Metrics for Fake B: PSNR: 7.08, SSIM: nan, MSE: 0.78
Image 33 Metrics for Fake A: PSNR: 6.98, SSIM: nan, MSE: 0.80
Image 33 Metrics for Fake B: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 34 Metrics for Fake A: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 34 Metrics for Fake B: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 35 Metrics for Fake A: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 35 Metrics for Fake B: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 36 Metrics for Fake A: PSNR: 7.08, SSIM: nan, MSE: 0.78
Image 36 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.80
Image 37 Metrics for Fake A: PSNR: 7.07, SSIM: nan, MSE: 0.79
Image 37 Metrics for Fake B: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 38 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 38 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 39 Metrics for Fake A: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 39 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.80
Image 40 Metrics for Fake A: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 40 Metrics for Fake B: PSNR: 7.00, SSIM: nan, MSE: 0.80
Image 41 Metrics for Fake A: PSNR: 7.01, SSIM: nan, MSE: 0.80
Image 41 Metrics for Fake B: PSNR: 7.00, SSIM: nan, MSE: 0.80
Image 42 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 42 Metrics for Fake B: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 43 Metrics for Fake A: PSNR: 6.95, SSIM: nan, MSE: 0.81
Image 43 Metrics for Fake B: PSNR: 6.98, SSIM: nan, MSE: 0.80
Image 44 Metrics for Fake A: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 44 Metrics for Fake B: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 45 Metrics for Fake A: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 45 Metrics for Fake B: PSNR: 6.96, SSIM: nan, MSE: 0.81
Image 46 Metrics for Fake A: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 46 Metrics for Fake B: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 47 Metrics for Fake A: PSNR: 6.94, SSIM: nan, MSE: 0.81
Image 47 Metrics for Fake B: PSNR: 6.97, SSIM: nan, MSE: 0.80
Image 48 Metrics for Fake A: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 48 Metrics for Fake B: PSNR: 6.95, SSIM: nan, MSE: 0.81
Image 49 Metrics for Fake A: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 49 Metrics for Fake B: PSNR: 6.91, SSIM: nan, MSE: 0.81
Image 50 Metrics for Fake A: PSNR: 6.77, SSIM: nan, MSE: 0.84
Image 50 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 51 Metrics for Fake A: PSNR: 6.80, SSIM: nan, MSE: 0.84
Image 51 Metrics for Fake B: PSNR: 6.91, SSIM: nan, MSE: 0.81
Image 52 Metrics for Fake A: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 52 Metrics for Fake B: PSNR: 6.90, SSIM: nan, MSE: 0.82
Image 53 Metrics for Fake A: PSNR: 6.80, SSIM: nan, MSE: 0.84
Image 53 Metrics for Fake B: PSNR: 6.90, SSIM: nan, MSE: 0.82
Image 54 Metrics for Fake A: PSNR: 6.79, SSIM: nan, MSE: 0.84
Image 54 Metrics for Fake B: PSNR: 6.89, SSIM: nan, MSE: 0.82
Image 55 Metrics for Fake A: PSNR: 6.73, SSIM: nan, MSE: 0.85
Image 55 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 56 Metrics for Fake A: PSNR: 6.68, SSIM: nan, MSE: 0.86
Image 56 Metrics for Fake B: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 57 Metrics for Fake A: PSNR: 6.64, SSIM: nan, MSE: 0.87
Image 57 Metrics for Fake B: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 58 Metrics for Fake A: PSNR: 6.56, SSIM: nan, MSE: 0.88
Image 58 Metrics for Fake B: PSNR: 6.84, SSIM: nan, MSE: 0.83
Image 59 Metrics for Fake A: PSNR: 6.51, SSIM: nan, MSE: 0.89
Image 59 Metrics for Fake B: PSNR: 6.84, SSIM: nan, MSE: 0.83
Image 60 Metrics for Fake A: PSNR: 6.51, SSIM: nan, MSE: 0.89
Image 60 Metrics for Fake B: PSNR: 6.84, SSIM: nan, MSE: 0.83
Image 61 Metrics for Fake A: PSNR: 6.52, SSIM: nan, MSE: 0.89
Image 61 Metrics for Fake B: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 62 Metrics for Fake A: PSNR: 6.46, SSIM: nan, MSE: 0.90
Image 62 Metrics for Fake B: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 63 Metrics for Fake A: PSNR: 6.46, SSIM: nan, MSE: 0.90
Image 63 Metrics for Fake B: PSNR: 6.82, SSIM: nan, MSE: 0.83
Image 64 Metrics for Fake A: PSNR: 6.38, SSIM: nan, MSE: 0.92
Image 64 Metrics for Fake B: PSNR: 6.81, SSIM: nan, MSE: 0.83
Image 65 Metrics for Fake A: PSNR: 6.43, SSIM: nan, MSE: 0.91
Image 65 Metrics for Fake B: PSNR: 6.82, SSIM: nan, MSE: 0.83
Image 66 Metrics for Fake A: PSNR: 6.36, SSIM: nan, MSE: 0.93
Image 66 Metrics for Fake B: PSNR: 6.74, SSIM: nan, MSE: 0.85
Image 67 Metrics for Fake A: PSNR: 6.34, SSIM: nan, MSE: 0.93
Image 67 Metrics for Fake B: PSNR: 6.75, SSIM: nan, MSE: 0.85
Image 68 Metrics for Fake A: PSNR: 6.27, SSIM: nan, MSE: 0.95
Image 68 Metrics for Fake B: PSNR: 6.73, SSIM: nan, MSE: 0.85
Image 69 Metrics for Fake A: PSNR: 6.29, SSIM: nan, MSE: 0.94
Image 69 Metrics for Fake B: PSNR: 6.72, SSIM: nan, MSE: 0.85
Image 70 Metrics for Fake A: PSNR: 6.24, SSIM: nan, MSE: 0.95
Image 70 Metrics for Fake B: PSNR: 6.72, SSIM: nan, MSE: 0.85
Image 71 Metrics for Fake A: PSNR: 6.27, SSIM: nan, MSE: 0.94
Image 71 Metrics for Fake B: PSNR: 6.78, SSIM: nan, MSE: 0.84
Image 72 Metrics for Fake A: PSNR: 6.21, SSIM: nan, MSE: 0.96
Image 72 Metrics for Fake B: PSNR: 6.77, SSIM: nan, MSE: 0.84
Image 73 Metrics for Fake A: PSNR: 6.20, SSIM: nan, MSE: 0.96
Image 73 Metrics for Fake B: PSNR: 6.75, SSIM: nan, MSE: 0.85
Image 74 Metrics for Fake A: PSNR: 6.51, SSIM: nan, MSE: 0.89
Image 74 Metrics for Fake B: PSNR: 5.86, SSIM: nan, MSE: 1.04
Image 75 Metrics for Fake A: PSNR: 6.55, SSIM: nan, MSE: 0.89
Image 75 Metrics for Fake B: PSNR: 5.88, SSIM: nan, MSE: 1.03
Image 76 Metrics for Fake A: PSNR: 6.61, SSIM: nan, MSE: 0.87
Image 76 Metrics for Fake B: PSNR: 5.90, SSIM: nan, MSE: 1.03
Image 77 Metrics for Fake A: PSNR: 6.47, SSIM: nan, MSE: 0.90
Image 77 Metrics for Fake B: PSNR: 5.95, SSIM: nan, MSE: 1.02
Image 78 Metrics for Fake A: PSNR: 6.48, SSIM: nan, MSE: 0.90
Image 78 Metrics for Fake B: PSNR: 5.96, SSIM: nan, MSE: 1.02
Image 79 Metrics for Fake A: PSNR: 6.31, SSIM: nan, MSE: 0.94
Image 79 Metrics for Fake B: PSNR: 5.98, SSIM: nan, MSE: 1.01
Image 80 Metrics for Fake A: PSNR: 6.30, SSIM: nan, MSE: 0.94
Image 80 Metrics for Fake B: PSNR: 6.36, SSIM: nan, MSE: 0.93
Image 81 Metrics for Fake A: PSNR: 6.42, SSIM: nan, MSE: 0.91
Image 81 Metrics for Fake B: PSNR: 6.70, SSIM: nan, MSE: 0.86
Image 82 Metrics for Fake A: PSNR: 6.49, SSIM: nan, MSE: 0.90
Image 82 Metrics for Fake B: PSNR: 6.71, SSIM: nan, MSE: 0.85
Image 83 Metrics for Fake A: PSNR: 6.55, SSIM: nan, MSE: 0.89
Image 83 Metrics for Fake B: PSNR: 6.71, SSIM: nan, MSE: 0.85
Image 84 Metrics for Fake A: PSNR: 6.57, SSIM: nan, MSE: 0.88
Image 84 Metrics for Fake B: PSNR: 6.70, SSIM: nan, MSE: 0.86
Image 85 Metrics for Fake A: PSNR: 6.59, SSIM: nan, MSE: 0.88
Image 85 Metrics for Fake B: PSNR: 6.71, SSIM: nan, MSE: 0.85
Image 86 Metrics for Fake A: PSNR: 6.68, SSIM: nan, MSE: 0.86
Image 86 Metrics for Fake B: PSNR: 5.98, SSIM: nan, MSE: 1.01
Image 87 Metrics for Fake A: PSNR: 6.75, SSIM: nan, MSE: 0.85
Image 87 Metrics for Fake B: PSNR: 5.99, SSIM: nan, MSE: 1.01
Image 88 Metrics for Fake A: PSNR: 6.64, SSIM: nan, MSE: 0.87
Image 88 Metrics for Fake B: PSNR: 6.73, SSIM: nan, MSE: 0.85
Image 89 Metrics for Fake A: PSNR: 6.63, SSIM: nan, MSE: 0.87
Image 89 Metrics for Fake B: PSNR: 6.73, SSIM: nan, MSE: 0.85
Image 90 Metrics for Fake A: PSNR: 6.60, SSIM: nan, MSE: 0.88
Image 90 Metrics for Fake B: PSNR: 6.72, SSIM: nan, MSE: 0.85
Image 91 Metrics for Fake A: PSNR: 6.61, SSIM: nan, MSE: 0.87
Image 91 Metrics for Fake B: PSNR: 6.76, SSIM: nan, MSE: 0.84
Image 92 Metrics for Fake A: PSNR: 6.58, SSIM: nan, MSE: 0.88
Image 92 Metrics for Fake B: PSNR: 6.75, SSIM: nan, MSE: 0.85
Image 93 Metrics for Fake A: PSNR: 6.59, SSIM: nan, MSE: 0.88
Image 93 Metrics for Fake B: PSNR: 6.76, SSIM: nan, MSE: 0.84
Image 94 Metrics for Fake A: PSNR: 6.61, SSIM: nan, MSE: 0.87
Image 94 Metrics for Fake B: PSNR: 6.76, SSIM: nan, MSE: 0.84
Image 95 Metrics for Fake A: PSNR: 6.56, SSIM: nan, MSE: 0.88
Image 95 Metrics for Fake B: PSNR: 6.77, SSIM: nan, MSE: 0.84
Image 96 Metrics for Fake A: PSNR: 6.56, SSIM: nan, MSE: 0.88
Image 96 Metrics for Fake B: PSNR: 6.77, SSIM: nan, MSE: 0.84
Image 97 Metrics for Fake A: PSNR: 6.56, SSIM: nan, MSE: 0.88
Image 97 Metrics for Fake B: PSNR: 6.78, SSIM: nan, MSE: 0.84
Image 98 Metrics for Fake A: PSNR: 6.56, SSIM: nan, MSE: 0.88
Image 98 Metrics for Fake B: PSNR: 6.79, SSIM: nan, MSE: 0.84
Image 99 Metrics for Fake A: PSNR: 6.58, SSIM: nan, MSE: 0.88
